,Name,CardID,Rarity,Market Price,Buy List Price,Listed Median
149,"Gadwick, the Wizened",,R,0.73,0.1,0.61
150,"Gadwick, the Wizened (Extended Art)",,R,3.35,1.6,4.5
151,Garenbrig Carver,,C,0.02,,0.15
152,Garenbrig Carver (Showcase),,C,0.18,0.25,0.38
153,Garenbrig Paladin,,C,0.03,,0.15
154,Garenbrig Squire,,C,0.02,,0.15
155,Garrison Griffin,,C,0.06,,0.24
156,"Garruk, Cursed Huntsman",,M,4.89,4.52,5.95
157,"Garruk, Cursed Huntsman (Borderless)",,M,13.52,11.26,15.07
158,Giant // Food (15) Double-sided Token,,T,1.15,0.12,
159,Giant // Food (16) Double-sided Token,,T,0.65,0.18,
160,Giant // Food (17) Double-sided Token,,T,1.09,0.28,
161,Giant // Food (18) Double-sided Token,,T,0.76,0.05,
162,Giant Killer,,R,0.26,0.09,0.42
163,Giant Killer (Showcase),,R,0.58,0.09,0.7
164,Giant Opportunity,,U,0.03,,0.2
165,Giant Token,,T,0.07,,0.17
166,Giant's Skewer,,C,0.02,,0.15
167,Gilded Goose,,R,5.77,2.65,5.65
168,Gilded Goose (Extended Art),,R,13.72,9.22,16.32
169,Gingerbread Cabin,,C,0.05,,0.16
170,Gingerbrute,,C,0.1,0.01,0.19
171,Glass Casket,,U,0.07,,0.2
172,Gluttonous Troll,,R,0.4,0.58,0.77
173,Goat // Food (15) Double-sided Token,,T,1.58,0.41,
174,Goat // Food (16) Double-sided Token,,T,0.76,0.12,
175,Goat // Food (17) Double-sided Token,,T,2.4,0.4,
176,Goat // Food (18) Double-sided Token,,T,0.85,,
177,Goat Token,,T,0.09,,0.2
178,Golden Egg,,C,0.05,0.25,0.18
179,"Grumgully, the Generous",,U,0.1,0.05,0.25
180,Happily Ever After,,R,0.14,0.04,0.33
181,Happily Ever After (Extended Art),,R,1.39,0.68,2.47
182,Harmonious Archon,,M,0.53,0.49,0.88
183,Harmonious Archon (Extended Art),,M,2.89,2.53,4.42
184,Henge Walker,,C,0.02,,0.15
185,Heraldic Banner,,U,0.18,0.1,0.25
186,Human // Food (15) Double-sided Token,,T,0.74,0.12,
187,Human // Food (16) Double-sided Token,,T,0.81,0.2,
188,Human // Food (17) Double-sided Token,,T,0.73,0.11,
189,Human // Food (18) Double-sided Token,,T,0.57,0.22,
190,Human Cleric // Food (15) Double-sided Token,,T,2.73,1.23,
191,Human Cleric // Food (16) Double-sided Token,,T,2.4,,
192,Human Cleric // Food (17) Double-sided Token,,T,3.0,,
193,Human Cleric // Food (18) Double-sided Token,,T,2.99,,
194,Human Cleric Token,,T,0.07,,0.2
195,Human Rogue // Food (15) Double-sided Token,,T,0.5,,
196,Human Rogue // Food (16) Double-sided Token,,T,1.99,0.35,
197,Human Rogue // Food (17) Double-sided Token,,T,0.25,,
198,Human Rogue // Food (18) Double-sided Token,,T,1.77,0.43,
199,Human Rogue Token,,T,0.08,,0.19
200,Human Token,,T,0.1,,0.13
201,Human Warrior // Food (15) Double-sided Token,,T,,,
202,Human Warrior // Food (16) Double-sided Token,,T,2.73,0.6,
203,Human Warrior // Food (17) Double-sided Token,,T,0.94,,
204,Human Warrior // Food (18) Double-sided Token,,T,0.96,0.15,
205,Human Warrior Token,,T,0.07,,0.19
206,Hushbringer,,R,0.86,0.31,1.0
207,Hushbringer (Extended Art),,R,4.89,3.68,6.11
208,Hypnotic Sprite,,U,0.14,,0.25
209,Hypnotic Sprite (Showcase),,U,0.21,0.14,0.41
210,Idyllic Grange,,C,0.05,,0.15
211,Improbable Alliance,,U,0.07,,0.22
212,Inquisitive Puppet,,U,0.03,,0.2
213,Insatiable Appetite,,C,0.02,,0.15
214,Inspiring Veteran,,U,0.14,,0.25
215,Into the Story,,U,0.16,0.01,0.29
216,Irencrag Feat,,R,0.24,0.09,0.44
217,Irencrag Feat (Extended Art),,R,2.08,1.43,2.95
218,Irencrag Pyromancer,,R,0.44,0.23,0.65
219,Irencrag Pyromancer (Extended Art),,R,1.62,1.5,2.97
220,Island,,L,0.42,0.04,0.33
221,Island (255),,L,0.07,,0.11
222,Island (256),,L,0.06,0.05,0.11
223,Island (257),,L,0.08,0.02,0.15
224,Joust,,U,0.02,,0.2
225,Jousting Dummy,,C,0.01,,0.15
226,Keeper of Fables,,U,0.08,,0.2
227,"Kenrith, the Returned King (Non-Foil)",,M,6.37,5.87,9.75
228,Kenrith's Transformation,,U,0.08,,0.25
229,Knight // Food (15) Double-sided Token,,T,0.45,0.03,
230,Knight // Food (16) Double-sided Token,,T,1.01,0.19,
231,Knight // Food (17) Double-sided Token,,T,0.69,0.19,
232,Knight // Food (18) Double-sided Token,,T,0.47,0.13,
233,Knight of the Keep,,C,0.02,,0.15
234,Knight Token,,T,0.09,,0.15
235,Knights' Charge,,R,3.45,2.65,4.05
236,"Korvold, Fae-Cursed King",,M,20.11,7.89,22.98
237,Lash of Thorns,,C,0.02,,0.15
238,"Linden, the Steadfast Queen",,R,0.2,0.05,0.38
239,"Linden, the Steadfast Queen (Extended Art)",,R,1.37,1.52,2.47
240,Loch Dragon,,U,0.04,,0.2
241,Lochmere Serpent,,R,0.19,0.08,0.35
242,Lochmere Serpent (Extended Art),,R,1.8,2.2,2.71
243,Locthwain Gargoyle,,C,0.03,,0.15
244,Locthwain Paladin,,C,0.03,,0.15
245,Lonesome Unicorn,,C,0.03,,0.15
246,Lonesome Unicorn (Showcase),,C,0.27,0.02,0.5
247,Lost Legion,,C,0.02,,0.15
248,Lovestruck Beast,,R,1.08,0.2,1.05
249,Lovestruck Beast (Showcase),,R,2.24,0.35,2.07
250,Lucky Clover,,U,0.18,0.33,0.26
251,Mace of the Valiant,,R,0.98,1.26,1.46
252,Mad Ratter,,U,0.05,,0.2
253,Malevolent Noble,,C,0.02,,0.15
254,Mantle of Tides,,C,0.03,,0.15
255,Maraleaf Pixie,,U,0.07,,0.2
256,Maraleaf Rider,,C,0.02,,0.15
257,Memory Theft,,C,0.02,,0.15
258,Merchant of the Vale,,C,0.08,,0.18
259,Merchant of the Vale (Showcase),,C,1.53,0.6,2.04
260,Merfolk Secretkeeper,,C,0.07,,0.15
261,Merfolk Secretkeeper (Showcase),,C,1.56,0.21,1.69
262,Midnight Clock,,R,0.27,0.11,0.48
263,Midnight Clock (Extended Art),,R,2.38,1.62,3.99
264,Mirrormade,,R,1.48,0.37,1.6
265,Mirrormade (Extended Art),,R,5.64,3.95,7.5
266,Mistford River Turtle,,C,0.02,,0.15
267,Moonlit Scavengers,,C,0.02,,0.15
268,Mountain,,L,0.16,,0.19
269,Mountain (263),,L,0.05,,0.12
270,Mountain (264),,L,0.04,,0.1
271,Mountain (265),,L,0.04,,0.14
272,Mouse // Food (15) Double-sided Token,,T,1.09,0.22,
273,Mouse // Food (16) Double-sided Token,,T,1.05,0.21,
274,Mouse // Food (17) Double-sided Token,,T,1.25,0.17,
275,Mouse // Food (18) Double-sided Token,,T,0.6,0.08,
276,Mouse Token,,T,0.05,,0.15
277,Murderous Rider,,R,6.26,4.33,6.75
278,Murderous Rider (Showcase),,R,7.82,4.9,9.36
279,Mysterious Pathlighter,,U,0.01,,0.2
280,Mystic Sanctuary,,C,0.4,0.05,0.45
281,Mystical Dispute,,U,2.17,0.43,2.46
282,Oakhame Adversary,,U,0.06,,0.2
283,Oakhame Ranger,,U,0.04,,0.2
284,Oakhame Ranger (Showcase),,U,0.08,0.03,0.27
285,Oathsworn Knight,,R,0.18,0.16,0.35
286,Oathsworn Knight (Extended Art),,R,1.76,0.63,2.48
287,Ogre Errant,,C,0.02,,0.15
288,"Oko, the Trickster",,M,1.76,2.14,2.9
289,"Oko, Thief of Crowns",,M,45.61,22.87,51.22
290,"Oko, Thief of Crowns (Borderless)",,M,54.49,38.91,64.98
291,Oko's Accomplices,,C,0.12,0.01,0.2
292,Oko's Hospitality,,R,0.19,0.18,0.49
293,On An Adventure Emblem,,T,0.04,,0.15
294,Once and Future,,U,0.04,,0.21
295,Once Upon a Time,,R,12.35,9.67,14.23
296,Once Upon a Time (Extended Art),,R,22.49,18.02,25.0
297,Opportunistic Dragon,,R,0.21,0.06,0.35
298,Opportunistic Dragon (Extended Art),,R,1.17,0.54,1.99
299,Opt,,C,0.1,0.01,0.19
300,Order of Midnight,,U,0.16,,0.25
301,Order of Midnight (Showcase),,U,0.65,0.08,0.75
302,Outflank,,C,0.02,,0.15
303,Outlaws' Merriment,,M,0.83,0.5,1.23
304,Outlaws' Merriment (Extended Art),,M,3.8,2.63,4.99
305,Outmuscle,,C,0.03,,0.15
306,Overwhelmed Apprentice,,U,0.12,0.01,0.25
307,Piper of the Swarm,,R,0.27,0.09,0.42
308,Piper of the Swarm (Extended Art),,R,1.14,0.8,2.48
309,Plains,,L,0.11,,0.15
310,Plains (251),,L,0.05,,0.12
311,Plains (252),,L,0.05,,0.12
312,Plains (253),,L,0.08,,0.12
313,Prized Griffin,,C,0.02,,0.15
314,Prophet of the Peak,,C,0.01,,0.15
315,Queen of Ice,,C,0.02,,0.15
316,Queen of Ice (Showcase),,C,0.53,0.05,0.91
317,Questing Beast,,M,20.36,17.74,22.0
318,Questing Beast (Extended Art),,M,31.01,23.49,35.86
319,Raging Redcap,,C,0.02,,0.15
320,Rally for the Throne,,U,0.03,,0.2
321,Rampart Smasher,,U,0.02,,0.2
322,"Rankle, Master of Pranks",,M,9.72,5.15,9.67
323,"Rankle, Master of Pranks (Extended Art)",,M,16.31,14.94,18.95
324,Rat // Food (15) Double-sided Token,,T,1.36,0.27,
325,Rat // Food (16) Double-sided Token,,T,0.67,0.2,
326,Rat // Food (17) Double-sided Token,,T,1.35,0.21,
327,Rat // Food (18) Double-sided Token,,T,1.0,0.13,
328,Rat Token,,T,0.2,,0.25
329,Realm-Cloaked Giant,,M,1.34,1.79,2.41
330,Realm-Cloaked Giant (Showcase),,M,7.14,5.11,7.55
331,Reaper of Night,,C,0.02,,0.15
332,Reaper of Night (Showcase),,C,0.33,0.03,0.49
333,Reave Soul,,C,0.03,,0.15
334,Redcap Melee,,U,0.06,,0.2
335,Redcap Raiders,,C,0.02,,0.15
336,Resolute Rider,,U,0.03,0.01,0.2
337,Return of the Wildspeaker,,R,0.39,0.08,0.49
338,Return of the Wildspeaker (Extended Art),,R,1.72,1.51,3.0
339,Return to Nature,,C,0.08,,0.16
340,Revenge of Ravens,,U,0.12,0.01,0.23
341,Righteousness,,U,0.02,,0.2
342,Rimrock Knight,,C,0.04,,0.15
343,Rimrock Knight (Showcase),,C,0.74,0.07,0.73
344,Robber of the Rich,,M,2.52,2.28,3.25
345,Robber of the Rich (Extended Art),,M,5.53,5.32,7.0
346,Rosethorn Acolyte,,C,0.03,,0.15
347,Rosethorn Acolyte (Showcase),,C,0.78,0.03,0.86
348,Rosethorn Halberd,,C,0.03,,0.15
349,Roving Keep,,C,0.01,,0.15
350,"Rowan, Fearless Sparkmage",,M,1.93,1.93,2.0
351,Rowan's Battleguard,,U,0.07,,0.25
352,Rowan's Stalwarts,,R,0.19,0.09,0.49
353,Run Away Together,,C,0.03,,0.15
354,Sage of the Falls,,U,0.03,,0.2
355,Savvy Hunter,,U,0.06,,0.21
356,Scalding Cauldron,,C,0.03,,0.15
357,Scorching Dragonfire,,C,0.04,,0.15
358,Searing Barrage,,C,0.02,,0.15
359,Seven Dwarves,,C,0.08,0.06,0.18
360,Shambling Suit,,U,0.03,,0.2
361,Shepherd of the Flock,,U,0.08,,0.22
362,Shepherd of the Flock (Showcase),,U,0.14,0.1,0.31
363,Shimmer Dragon,,R,3.37,1.61,4.0
364,Shinechaser,,U,0.01,,0.2
365,Shining Armor,,C,0.03,,0.15
366,Signpost Scarecrow,,C,0.01,,0.15
367,Silverflame Ritual,,C,0.03,,0.15
368,Silverflame Squire,,C,0.03,,0.15
369,Silverflame Squire (Showcase),,C,0.31,0.01,0.49
370,Silverwing Squadron,,R,1.24,0.81,1.29
371,Skullknocker Ogre,,U,0.02,,0.2
372,Slaying Fire,,U,0.06,0.01,0.25
373,Smitten Swordmaster,,C,0.08,0.01,0.15
374,Smitten Swordmaster (Showcase),,C,1.35,0.28,1.39
375,So Tiny,,C,0.01,,0.15
376,Sorcerer's Broom,,U,0.03,,0.2
377,Sorcerous Spyglass,,R,0.38,0.08,0.5
378,Sorcerous Spyglass (Extended Art),,R,2.59,2.14,4.05
379,Specter's Shriek,,U,0.03,0.01,0.22
380,Spinning Wheel,,U,0.06,,0.22
381,Sporecap Spider,,C,0.03,,0.15
382,Steelbane Hydra,,R,4.73,2.92,4.41
383,Steelclaw Lance,,U,0.05,,0.2
384,Steelgaze Griffin,,C,0.02,,0.15
385,Stolen by the Fae,,R,0.18,0.06,0.35
386,Stolen by the Fae (Extended Art),,R,1.59,0.82,2.49
387,Stonecoil Serpent,,R,4.53,1.3,4.59
388,Stonecoil Serpent (Extended Art),,R,11.78,6.02,12.99
389,Stormfist Crusader,,R,0.33,0.17,0.5
390,Stormfist Crusader (Extended Art),,R,2.93,2.29,4.02
391,Sundering Stroke,,R,0.16,0.02,0.3
392,Sundering Stroke (Extended Art),,R,0.62,0.51,1.84
393,Swamp,,L,0.32,,0.32
394,Swamp (259),,L,0.06,,0.1
395,Swamp (260),,L,0.07,,0.12
396,Swamp (261),,L,0.07,,0.15
397,"Syr Alin, the Lion's Claw",,U,0.03,,0.2
398,"Syr Carah, the Bold",,U,0.07,0.01,0.23
399,"Syr Elenora, the Discerning",,U,0.04,,0.21
400,"Syr Faren, the Hengehammer",,U,0.07,,0.25
401,"Syr Gwyn, Hero of Ashvale",,M,4.14,5.13,5.0
402,"Syr Konrad, the Grim",,U,0.24,0.01,0.32
403,Tall as a Beanstalk,,C,0.01,,0.15
404,Taste of Death,,R,0.53,0.57,0.98
405,Tempting Witch,,C,0.03,,0.15
406,The Cauldron of Eternity,,M,1.01,0.76,1.59
407,The Cauldron of Eternity (Extended Art),,M,5.77,6.96,8.0
408,The Circle of Loyalty,,M,1.46,0.88,1.89
409,The Circle of Loyalty (Extended Art),,M,5.02,5.99,7.03
410,The Great Henge,,M,11.92,7.85,12.0
411,The Great Henge (Extended Art),,M,23.46,17.22,27.81
412,The Magic Mirror,,M,2.37,1.41,2.35
413,The Magic Mirror (Extended Art),,M,6.68,7.93,9.29
414,The Royal Scions,,M,12.77,6.85,13.08
415,The Royal Scions (Borderless),,M,16.52,13.18,19.49
416,Thorn Mammoth,,R,0.55,0.51,0.95
417,Thornwood Falls,,C,0.11,,0.22
418,Thrill of Possibility,,C,0.07,0.16,0.23
419,Thunderous Snapper,,U,0.01,,0.2
420,Tome of Legends,,R,1.68,1.4,2.71
421,Tome Raider,,C,0.02,,0.15
422,"Torbran, Thane of Red Fell",,R,2.76,0.86,2.72
423,"Torbran, Thane of Red Fell (Extended Art)",,R,7.95,6.28,9.28
424,Tournament Grounds,,U,0.23,0.04,0.32
425,Trail of Crumbs,,U,0.12,,0.25
426,Trapped in the Tower,,C,0.02,,0.15
427,True Love's Kiss,,C,0.05,,0.15
428,Tuinvale Treefolk,,C,0.03,,0.15
429,Tuinvale Treefolk (Showcase),,C,0.17,0.08,0.49
430,Turn into a Pumpkin,,U,0.03,,0.2
431,Unexplained Vision,,C,0.02,,0.15
432,Vantress Gargoyle,,R,0.8,0.36,0.94
433,Vantress Gargoyle (Extended Art),,R,2.08,1.7,3.09
434,Vantress Paladin,,C,0.02,,0.15
435,Venerable Knight,,U,0.14,,0.25
436,Wandermare,,U,0.05,,0.21
437,Weapon Rack,,C,0.02,,0.15
438,Weaselback Redcap,,C,0.04,,0.15
439,Wicked Guardian,,C,0.01,,0.15
440,Wicked Wolf,,R,0.87,0.39,1.22
441,Wicked Wolf (Extended Art),,R,4.77,2.81,5.0
442,Wildborn Preserver,,R,0.54,0.37,0.82
443,Wildborn Preserver (Extended Art),,R,2.41,1.77,3.58
444,Wildwood Tracker,,C,0.02,,0.15
445,Wind-Scarred Crag,,C,0.15,,0.2
446,Wintermoor Commander,,U,0.06,,0.24
447,Wishclaw Talisman,,R,0.64,0.34,0.99
448,Wishclaw Talisman (Extended Art),,R,4.32,4.19,5.73
449,Wishful Merfolk,,C,0.04,,0.16
450,Witching Well,,C,0.11,0.01,0.18
451,Witch's Cottage,,C,0.09,0.01,0.23
452,Witch's Oven,,U,0.44,0.14,0.41
453,Witch's Vengeance,,R,0.33,0.1,0.49
454,Witch's Vengeance (Extended Art),,R,1.74,0.74,2.56
455,Wolf // Food (15) Double-sided Token,,T,1.99,0.5,
456,Wolf // Food (16) Double-sided Token,,T,1.97,0.41,
457,Wolf // Food (17) Double-sided Token,,T,2.66,0.68,
458,Wolf // Food (18) Double-sided Token,,T,1.36,0.27,
459,Wolf Token,,T,0.33,,0.4
460,Wolf's Quarry,,C,0.02,,0.15
461,Workshop Elders,,R,0.37,0.85,0.66
462,Worthy Knight,,R,0.52,0.19,0.59
463,Worthy Knight (Extended Art),,R,2.63,1.18,3.01
464,"Yorvo, Lord of Garenbrig",,R,0.53,0.08,0.59
465,"Yorvo, Lord of Garenbrig (Extended Art)",,R,3.14,1.06,3.99
